bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;
5;0,8621193406253019;0,8720429878143501;0,8625493514776164;0,8774710879345732;0,8774710879345732;0,8621193406253019;0,8754781838324571;0,8755369520940663;0,8716872799030891;0,8714529457720086;0,864136906599544;0,0;
5;0,8519842055763043;0,8652540399310593;0,8524472191782042;0,8681457643841293;0,8681457643841293;0,8519842055763043;0,8658310306584402;0,8668010981474191;0,8622724369080425;0,8629683331345079;0,854203763383793;0,0;

40;0,9265815281693424;0,9308229815999957;0,9124002990913694;0,9727675705303441;0,9727707731456114;0,933351380773572;0,9721915363720506;0,9716918441424358;0,9646625973499642;0,9636327085214023;0,9076376503397927;0,0;
40;0,9215247685075301;0,9277922880116947;0,9107989733532772;0,9747381855084176;0,9747413390526066;0,924562358621734;0,9690697780556473;0,9694505463065648;0,9601917904822471;0,9605633003680395;0,9010856342304077;0,0;
40;0,8895962166518563;0,9240593407982075;0,9038940658026472;0,961608395977468;0,9616087843793035;0,9241104352487743;0,9628092906859879;0,9634481662521494;0,9527692061596372;0,9534655072620042;0,8988812677586197;0,0;
40;0,8772888466392204;0,9099649923516836;0,9018891580331542;0,9554068919759526;0,9554072179268144;0,9233887927570094;0,9475027172530014;0,9478423888774118;0,9377840045609817;0,9387219608588752;0,8853569832902449;0,0;
40;0,8658798775964828;0,9055188188776938;0,90635465411941;0,9430578149406312;0,9427382455295417;0,9197141324769155;0,9369671179083375;0,9359780797703954;0,9252511732340825;0,9255856439602675;0,8775450883741447;0,0;

10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
