bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;
5;0,7886022033371342;0,7916629269379648;0,7889948207336795;0,8007630448092479;0,8007630448092479;0,7886022033371342;0,8018200605528744;0,8002194482958004;0,8010427893726844;0,7993660993902052;0,7904432948680681;0,0;
5;0,8121812857949575;0,8157018394263381;0,8126964677375038;0,8257380651024696;0,8257380651024696;0,8121812857949575;0,8250885365192719;0,8241842636546313;0,8246195805795207;0,8235285627946415;0,8147529716735785;0,0;

40;0,9005491252231101;0,9101382246991309;0,8873674566461913;0,9454424789386637;0,9454474318460496;0,9056907227500535;0,9468905516593459;0,9485679044198029;0,9334406080172684;0,9378339327080978;0,8834193999027474;0,0;
40;0,8987982107513773;0,8964310615646248;0,8823916861095277;0,9325332688314639;0,9328025884717027;0,9003842850177362;0,9341094764993229;0,9345747165888015;0,919759188337297;0,9243503681585953;0,8727413076936229;0,0;
40;0,8779045059925591;0,8688822824245144;0,8744491599101715;0,8984093843531564;0,898670705906681;0,8900094198055758;0,9024506836792713;0,9032193409232419;0,89115667923506;0,8927240826090597;0,8389822233682931;0,0;
40;0,8796276538074494;0,8487704522347475;0,868867243904201;0,8923519779749408;0,8926224593494059;0,8881494839776841;0,8892532141414256;0,8898031529338236;0,8783644296035409;0,8792589831983367;0,815527916723343;0,0;
40;0,8740536308596714;0,8734779388802648;0,8599851297660687;0,9077926788559451;0,9077743423523723;0,8778135835643471;0,9044673640222932;0,9043959283684021;0,8939653570699374;0,8941283487778883;0,8373949061493249;0,0;

10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
